58978.863346327 +3.35189614e+01 +0.00000000e+00 1.425e+01
58978.863346572 +2.04345715e+01 -1.23489834e-03 2.139e+01
58978.863346939 -2.10613229e+01 -5.15126064e-03 8.492e+00
58978.863347185 +1.74482453e+01 -1.51674636e-03 7.622e+00
58978.863785967 +6.11746677e+01 +2.61013210e-03 6.628e+00
58978.863786335 +2.45298068e+01 -8.48392025e-04 6.418e+00
58978.863786702 -8.12597699e+00 -3.93042900e-03 8.393e+00
58978.863786948 +1.32181531e+00 -3.03875096e-03 8.235e+00
58978.864480562 +1.87914368e+01 -1.38997659e-03 7.744e+00
58978.864481052 -4.26712166e+01 -7.19079189e-03 8.506e+00
58978.864481298 -9.24382920e-01 -3.25074606e-03 8.057e+00
58978.864481543 +2.37902315e+01 -9.18192789e-04 7.432e+00
58978.865175157 -8.62945706e-01 -3.24494764e-03 7.434e+00
58978.865175525 -1.04934933e+00 -3.26254033e-03 7.180e+00
58978.865175770 -1.47009233e+01 -4.55096923e-03 4.879e+00
58978.865176016 +4.23312615e+00 -2.76398286e-03 6.076e+00
58978.865782683 +4.54930408e+01 +1.13010779e-03 8.058e+00
58978.865783173 -1.45847985e+01 -4.54000942e-03 6.599e+00
58978.865783418 +3.62914368e-02 -3.16007808e-03 4.606e+00
58978.865783664 +1.50165315e+01 -1.74625032e-03 2.035e+01
58987.900007653 +2.62513711e+01 -6.85911626e-04 5.947e+00
58987.900008020 -1.50194377e+01 -4.58103046e-03 7.468e+00
58987.900008389 +2.23577528e+00 -2.95249186e-03 6.502e+00
58987.900008634 +2.15158507e+01 -1.13284774e-03 6.070e+00
58987.900702249 +5.33098360e+01 +1.86785311e-03 5.921e+00
58987.900702616 +4.61950876e-01 -3.11990455e-03 8.505e+00
58987.900702984 +2.69230360e+01 -6.22520223e-04 3.902e+00
58987.900703229 +1.27617877e+01 -1.95905194e-03 7.421e+00
58987.901396720 -4.19136423e+01 -7.11929239e-03 6.925e+00
58987.901397089 +2.24346656e+01 -1.04613043e-03 7.055e+00
58987.901397456 -2.64113339e+01 -5.65619208e-03 4.991e+00
58987.901397702 +1.22745727e+01 -2.00503506e-03 4.743e+00
58987.902062252 +2.14952861e+01 -1.13478862e-03 1.388e+01
58987.902062620 +3.32361489e+01 -2.66917050e-05 6.744e+00
58987.902062987 -7.56222690e+00 -3.87722254e-03 5.190e+00
58987.902063233 +9.12053252e+00 -2.30271183e-03 4.522e+00
59001.808380341 +2.08858873e+01 -1.19230337e-03 1.138e+01
59001.808380831 -5.31006849e+00 -3.66466492e-03 9.688e+00
59001.808381077 +9.83380022e+00 -2.23539397e-03 1.054e+01
59001.808381323 +9.84109284e+01 +6.12447225e-03 9.947e+00
59001.808802935 +5.50341407e+00 -2.64409371e-03 7.518e+00
59001.808803303 -7.93442234e+00 -3.91235016e-03 6.128e+00
59001.808803549 +2.63482931e+01 -6.76764175e-04 7.749e+00
59001.808803793 -5.20609071e+01 -8.07698630e-03 1.814e+01
